title,abstract,introduction,journal,field,main_discipline,main_levels,non_main_levels,pdf_url,status
Organic pollutant-induced long-distance ROS signaling drives plant systemic acquired acclimation via rhizomicrobiota,"Plants can recruit beneficial rhizomicrobes to combat environmental stimuli, but the upstream signaling through which plants sense stress to initiate rhizomicrobial recruitment still remains unclear. This study elucidates the role of long-distance ROS signaling in driving the recruitment of beneficial rhizobacteria to establish systemic acclimation following local organic pollutant stress. Plant leaves sense various organic pollutants to generate ROS, followed by the occurrence of a long-distance ROS wave from leaves to roots via a Ca2+-RBOH-ROS signaling module. Elevated ROS in roots plays dual functions. First, ROS stimulates plant carbon release into the rhizosphere by increasing the permeability of root cell membranes. The released carbon flux enriches plant-beneficial bacterial genera, which in turn promotes plant growth and pollutant degradation. Second, NO acts downstream of ROS to loosen root cell walls, facilitating rhizobacterial colonization. Our findings show how plants deploy systemic signaling acquire help from rhizomicrobes, extending our understanding of plant environmental adaptability. Here the authors show a role for long-distance ROS signaling in driving the recruitment and colonization of beneficial rhizobacteria by plants. This allows plants to establish acclimation in systemic tissues following local organic pollutant stress.",,Nature Communications,Agricultural and Biological Sciences|Agricultural and Biological Sciences|Agricultural and Biological Sciences,[[植物学]; [植物生理学]; [植物生态学]],L1:植物学; L2:植物生理学; L3:植物生态学; L1:植物生理学,L1:微生物学; L2:微生物生态学; L1:植物生态学,https://www.nature.com/articles/s41467-025-64138-y.pdf,
Spin logic enabled by current vector adder,"In order to advance the silicon integrated circuit technology, researchers have been searching for memory and logic devices with new physical state variables other than charge. Spin logic device that adds one degree of freedom-electron spin to charge has been considered as a promising candidate due to its low power consumption, built-in memory, and high scalability. Here, we demonstrate that a new variable – current direction on the sample can be introduced into the spin logic operation. The current direction of the sample is considered as a vector. For the various input currents along different directions, the direction of vector sum (vector adder) determines the output and therefore can enable complex logic functions. We have realized the basic Boolean logic gates including AND, OR, NAND, NOR, and even complicated IMPLY in a single device and further constructed a full adder with only 2 devices. By increasing the number of degrees of freedom one can reduce overall number of devices required to perform logic operations. Here, Zhao, Zheng, Wang et al demonstrate a device using current direction, a vector property, allowing for the implementation of Boolean logic, including IMPLY in a single device, and further enabling the construction of a full adder with only two devices.",,Nature Communications,Engineering|Engineering|Engineering,[[物理学];[凝聚态物理学]],L1:物理学; L2:凝聚态物理学,L1:电子、通信与自动控制技术; L2:电子技术; L1:计算机科学技术; L2:人工智能,https://www.nature.com/articles/s41467-025-58225-3.pdf,
Apparent charge reduction in multipolarons crafted one-by-one in monolayer CrBr3,"Manipulating electrons opens up emerging synthetic strategies. Multipolaron, as a rare quasiparticle containing multiple excess charges collectively dressed with shared local lattice distortions, provides an ideal medium for electron manipulation, yet remains elusive. Here, with scanning tunneling microscopy, we realize electron multipolarons in monolayer CrBr3. The multipolaron is crafted via assembling single monopolarons with the tip, allowing their electron numbers to increase one-by-one controllably. With added electrons, the multipolaron exhibits stronger local band bending and upward shift of the polaronic states. Notably, the apparent charge of the multipolaron can be reduced by tip manipulation. First principles calculations reveal that the multipolaron is stabilized by large diffusion barriers and screening of the substrate. The apparent charge reduction is attributed to the formation of the polaron-exciton droplet where the multipolaron captures holes from the substrate to partially offset the Coulomb repulsion. Our findings establish an approach for studying polaron interactions at the atomic limit. Multipolarons provide a potential platform for manipulating electrons. Here, the authors demonstrate the creation and manipulation of multipolarons in CrBr3 via the tip of a scanning tunneling microscope.",,Nature Communications,Materials Science|Engineering|Energy,[[物理学];[凝聚态物理学]],L1:物理学; L2:凝聚态物理学,L1:化学; L2:物理化学,https://www.nature.com/articles/s41467-025-62552-w.pdf,
Puzzle-like molecular assembly of non-flammable solid-state polymer electrolytes for safe and high-voltage lithium metal batteries,"Developing safe and high-voltage solid-state polymer electrolytes for high-specific-energy lithium metal batteries holds great promise. However, low ionic conductivity, limited Li+ transference number, narrow voltage window, and high flammability greatly hinder their practical applications. Herein, we propose a puzzle-like molecular assembly strategy to construct a solid-state polymer electrolyte via in situ polymerization. The triallyl phosphate and 2,2,3,3,4,4,4-heptafluorobutyl methacrylate segments are spliced into the vinyl ethylene carbonate matrix to enhance anion affinity and promote lithium salt dissociation, resulting in a high ionic conductivity of 0.432 mS cm-1 and a Li+ transference number of 0.70 at 25 °C. Meanwhile, the polymer electrolyte exhibits a high oxidation voltage of 5.15 V, enabled by its intrinsic high-voltage tolerance and the formation of a robust inorganic-rich interphase. As a result, the Li||LiNi0.6Co0.2Mn0.2O2 cell maintains stable performance for 300 cycles and reliably cycles even with an application-oriented mass loading of 15.8 mg cm-2. The 2.6-Ah Li||LiNi0.8Co0.1Mn0.1O2 pouch cell reaches a high specific energy of 349 Wh kg-1. Furthermore, the developed polymer electrolyte displays superior nonflammability and the Li||LiFePO4 cell exhibits stable cycling for over 120 cycles at 100 °C. Both accelerating rate calorimetry and nail penetration tests verify the high safety of the pouch cells using the designed polymer electrolyte, showing the potential for practical applications. Low conductivity and poor thermal safety limit solid polymer electrolytes for lithium metal batteries. Here, authors present a puzzle-like molecular design that enhances salt dissociation and stability, enabling safe, high-voltage batteries with improved cycling performance.",,Nature Communications,Engineering|Engineering|Engineering,[[材料科学];[有机高分子材料]],L1:材料科学; L2:有机高分子材料,L1:化学; L2:高分子化学; L1:能源科学技术; L2:储能技术,https://www.nature.com/articles/s41467-025-63439-6.pdf,
Impacts of urban and cropland expansions on natural habitats in Southeast Asia,"Urban and cropland expansions greatly contribute to natural habitat loss. Few studies have focused on the direct and indirect impacts of urban and cropland expansions on natural habitats in Southeast Asia, a biodiversity hotspot. In this study, these impacts were quantified from 2000 to 2020 across three scales (country, ecoregion, and biome) and future Shared Socioeconomic Pathways (SSPs) (by 2030 and 2050). From 2000 to 2020, the impact of cropland expansion on natural habitats in Southeast Asia was nearly 16 times greater than that of urban expansion. The impact of cropland expansion was primarily direct, whereas the indirect impact of urban expansion was approximately 14 times greater than the direct impact during the same period. Under the 2050 SSP3 (regional rivalry scenario), the projected areas of cropland expansion reaches 113.19 × 103 km2, resulting in the most pronounced impact on natural habitats. Under future SSPs, the gap between the total impacts of cropland and urban expansions, as well as the gap between the indirect and direct impacts of urban expansion, is expected to narrow compared with current conditions. Our study suggests that natural habitat conservation efforts in Southeast Asia should address the varying impacts of urban and cropland expansions through aspects such as urban form, spatial planning, and agricultural structure. The paper focuses on the impacts of urban and cropland expansions on natural habitats in Southeast Asia. The impact of cropland expansion on natural habitats was nearly 16 times greater than that of urban expansion during 2000–2020.",,Nature Communications,Environmental Science|Environmental Science|Environmental Science,[[地球科学];[地理学]],L1:地球科学; L2:地理学,L1:环境科学技术; L2:环境学; L1:农学; L2:农业基础学科,https://www.nature.com/articles/s41467-025-63384-4.pdf,
Health risks and genetic architecture of objectively measured multidimensional sleep health,"A multidimensional sleep health framework improves screening and treatment efficacy by simultaneously addressing multiple sleep domains. However, limited studies have used objective measures to evaluate the co-occurrence of diverse unhealthy sleep characteristics and their pleiotropic health effects. To represent real-world sleep patterns, we introduce the Unfavorable Sleep Profile (USP), an integrated multidimensional sleep health metric developed using accelerometer data in the UK Biobank (N = 85,233; aged 43-79 years). USP captures five domains: sleep timing, efficiency, duration, rhythmicity, and regularity. Phenome-wide association study found that USP was significantly associated with 76 out of 526 incident health outcomes over 7.9 years of follow-up. We identified several upstream environmental risk factors associated with USP, including low socioeconomic status. Whole-genome sequence analyses identified common variants in MEIS1 and rare coding variants in TTC1 associated with USP. We validated the USP framework in an independent cohort, the Multi-Ethnic Study of Atherosclerosis. Our findings underscore the importance of multidimensional sleep health assessment in predicting and potentially mitigating a wide array of health disorders and advance genetic insights into sleep health.",,Nature Communications,Psychology|Medicine|Neuroscience,[[生物学];[遗传学];[分子生物学]],L1:生物学; L2:遗传学; L3:分子生物学; L1:生理学; L2:内分泌生理学,L1:预防医学与卫生学; L2:流行病学; L3:社会医学; L1:基础医学; L2:人体生理学; L3:医学心理学; L1:遗传学; L2:分子遗传学,https://www.nature.com/articles/s41467-025-62338-0.pdf,
Enhancing prosthetic vision by upgrade of a subretinal photovoltaic implant in situ,"Abstract In patients with atrophic age-related macular degeneration, subretinal photovoltaic implant (PRIMA) provided visual acuity up to 20/440, matching its 100 µm pixels size. Next-generation implants with smaller pixels should significantly improve the acuity. This study in rats evaluates removal of a subretinal implant, replacement with a newer device, and the resulting grating acuity in-vivo. Six weeks after the initial implantation with planar and 3-dimensional devices, the retina was re-detached, and the devices were successfully removed. Histology demonstrated a preserved inner nuclear layer. Re-implantation of new devices into the same location demonstrated retinal re-attachment to a new implant. New devices with 22 µm pixels increased the grating acuity from the 100 µm capability of PRIMA implants to 28 µm, reaching the limit of natural resolution in rats. Reimplanted devices exhibited the same stimulation threshold as for the first implantation of the same implants in a control group. This study demonstrates the feasibility of safely upgrading the subretinal photovoltaic implants to improve prosthetic visual acuity.",,Nature Communications,"Neuroscience|Biochemistry, Genetics and Molecular Biology|Neuroscience",[[生物学];[生物物理学];[生物工程]],L1:生物学; L2:生物物理学; L3:生物工程; L1:生物物理学,L1:临床医学; L2:眼科学; L1:神经生物学,https://www.nature.com/articles/s41467-025-58084-y.pdf,
Computational identification of small molecules for increased gene expression by synthetic circuits in mammalian cells,"Engineering mammalian cells with synthetic circuits drives innovation in next-generation biotherapeutics and industrial biotechnology. However, applications often depend on cellular productivity, which is constrained by finite cellular resources. Here, we harness computational biology to identify drugs that boost productivity without additional genetic modifications. We perform RNA-sequencing on cells expressing an incoherent feed-forward loop (iFFL), a genetic circuit that enhances operational capacity. To find drugs that mimic this effect, we use DECCODE (Drug Enhanced Cell COnversion using Differential Expression), an unbiased method that matches our transcriptional data with thousands of drug-induced profiles. Among the compound candidates, we select Filgotinib, that enhances expression of both transiently and stably expressed genetic payloads across various experimental scenarios and cell lines, including AAV and lentivirus transduction. Our results reveal cell-specific responses, underscoring the context dependency of small-molecule treatments. Altogether, we present a versatile tool for biomedical and industrial applications requiring enhanced productivity from engineered cells.",,Nature Communications,"Biochemistry, Genetics and Molecular Biology|Medicine|Biochemistry, Genetics and Molecular Biology",[[生物学];[生物工程]],L1:生物学; L2:生物工程; L1:生物工程; L2:基因工程,L1:计算机科学技术; L2:人工智能; L1:细胞生物学; L2:细胞生理学; L1:分子生物学,https://www.nature.com/articles/s41467-025-62529-9.pdf,
A physics-informed Airy beam learning framework for blockage avoidance in sub-terahertz wireless networks,"The line-of-sight blockage is one of the main challenges in sub-terahertz wireless networks. Interestingly, the extended near-field range of sub-terahertz nodes gives rise to near-field wavefront shaping as a feasible remedy to tackle this issue. Recently, Airy beams emerged as one promising solution that opens significant opportunities to circumvent blockers with unique self-accelerating properties and curved trajectories. Yet, to unleash the full potential of curved beams in practice, one fundamental challenge remains: How to find the best beam trajectory? In principle, an infinite number of trajectories can be engineered. To find the optimal trajectory, we develop a physics-informed machine-learning framework for Airy beam shaping based on a detailed understanding of near-field electromagnetics, ray optics, and wave optics. The experimental results indicate that Airy beams, when correctly configured, can substantially increase the link budget under high-blockage scenarios even compared to near-field beam focusing, providing insight into coverage expansion and blind-spot reduction.",,Nature Communications,Engineering|Physics and Astronomy|Engineering,[[物理学];[光学]],L1:物理学; L2:光学,L1:计算机科学技术; L2:人工智能,https://www.nature.com/articles/s41467-025-62443-0.pdf,
European and African ancestry-specific plasma protein-QTL and metabolite-QTL analyses identify ancestry-specific T2D effector proteins and metabolites,"In this study, we generated and integrated plasma proteomics and metabolomics with the genotype datasets of over 2300 European (EUR) and 400 African (AFR) ancestries to identify ancestry-specific multi-omics quantitative trait loci (QTLs). In total, we mapped 954 AFR pQTLs, 2848 EUR pQTLs, 65 AFR mQTLs, and 490 EUR mQTLs. We further applied these QTLs to ancestry-stratified type-2 diabetes (T2D) risk to pinpoint key proteins and metabolites underlying the disease-associated genetic loci. Using INTACT that combined trait-imputation and colocalization results, we nominated 270 proteins and 72 metabolites from the EUR set; seven proteins and one metabolite from the AFR set as molecular effectors of T2D risk in an ancestry-stratified manner. Here, we show that the integration of genetic and omic studies of different ancestries can be used to identify distinct effector molecular traits underlying the same disease across diverse ancestral groups.",,Nature Communications,"Biochemistry, Genetics and Molecular Biology|Biochemistry, Genetics and Molecular Biology|Biochemistry, Genetics and Molecular Biology",[[遗传学]; [分子遗传学]],L1:遗传学; L2:分子遗传学,L1:生物化学; L2:激素生物化学,https://www.nature.com/articles/s41467-025-62463-w.pdf,
HIV status alters immune cell infiltration and activation profile in women with breast cancer,"Abstract The breast cancer (BC)-related mortality is higher and the immunity is altered in women living with HIV (WLWH) compared to HIV-negative women. Therefore, tumor samples of 296 black BC patients from South Africa and Namibia with known age, HIV status, tumor stage, hormone receptor and HER2 status and overall survival (OS) are analyzed for components of the tumor microenvironment (TME). WLWH ( n = 117), either with suppressed viral activity (HR = 1.25) or with immune suppression (HR = 2.04), have a shorter OS. HIV status is associated with increased numbers of CD8 + T cells in the TME compared to HIV-negative patients; no correlation is found with CD4 + T cell numbers in the blood. Moreover, an increased expression of CD276/B7-H3 and a more pronounced IFN-γ signaling in the tumors are found in WLWH, independent of age, stage, and BC subtypes. In conclusion, altered T cell composition and CD276 expression in WLWH may contribute to inferior survival and can be used for targeted treatment.",,Nature Communications,Medicine|Medicine|Medicine,[[临床医学];[肿瘤学]],L1:临床医学; L2:肿瘤学,L1:基础医学; L2:人体免疫学; L1:预防医学与卫生学; L2:流行病学,https://www.nature.com/articles/s41467-025-59408-8.pdf,
